observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/GBR,2021,2.7904,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/GBR,2021,-2.65,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/USA,2020,3761655400000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/USA,2020,16.9455,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/USA,2021,3818445300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/USA,2021,17.6858,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/USA,2021,1.51,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/UGA,2020,44061300000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UGA,2020,0.1985,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UGA,2021,49681400000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UGA,2021,0.2301,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UGA,2021,12.76,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/UKR,2020,32862200000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UKR,2020,0.148,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UKR,2021,33383500000,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/UKR,2021,0.1546,Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/UKR,2021,1.59,GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/SCG,2020,0,Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
