observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2020,37641400000,Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,INR,ExportsInUSD
country/IND,2020,0.1696,Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,45674300000,Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,INR,ExportsInUSD
country/IND,2021,0.2115,Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,21.34,GrowthRate_Exports_EconomicActivity_PreparationsOfCerealsFlourStarchOrMilkPastrycooks,Percent,ExportsInUSD
country/IND,2020,44274800000,Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,INR,ExportsInUSD
country/IND,2020,0.1994,Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,52030500000,Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,INR,ExportsInUSD
country/IND,2021,0.241,Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,17.52,GrowthRate_Exports_EconomicActivity_PreparationsOfVegetablesFruitNutsOrOtherPartsOf,Percent,ExportsInUSD
country/IND,2020,59150200000,Exports_EconomicActivity_MiscellaneousEdiblePreparations,INR,ExportsInUSD
country/IND,2020,0.2665,Exports_EconomicActivity_MiscellaneousEdiblePreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,69055900000,Exports_EconomicActivity_MiscellaneousEdiblePreparations,INR,ExportsInUSD
country/IND,2021,0.3198,Exports_EconomicActivity_MiscellaneousEdiblePreparations_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,16.75,GrowthRate_Exports_EconomicActivity_MiscellaneousEdiblePreparations,Percent,ExportsInUSD
country/IND,2020,18055100000,Exports_EconomicActivity_BeveragesSpiritsAndVinegar,INR,ExportsInUSD
country/IND,2020,0.0813,Exports_EconomicActivity_BeveragesSpiritsAndVinegar_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,26279600000,Exports_EconomicActivity_BeveragesSpiritsAndVinegar,INR,ExportsInUSD
country/IND,2021,0.1217,Exports_EconomicActivity_BeveragesSpiritsAndVinegar_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,45.55,GrowthRate_Exports_EconomicActivity_BeveragesSpiritsAndVinegar,Percent,ExportsInUSD
country/IND,2020,82630400000,Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,INR,ExportsInUSD
country/IND,2020,0.3722,Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,149105400000,Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,INR,ExportsInUSD
country/IND,2021,0.6906,Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,80.45,GrowthRate_Exports_EconomicActivity_FoodIndustriesResiduesAndWastesThereofPrepared,Percent,ExportsInUSD
country/IND,2020,64093900000,Exports_EconomicActivity_TobaccoAndManufacturedTobaccoSubstitutesProducts,INR,ExportsInUSD
