observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2025,wikidataId/Q1177,dcid:Count_Person_Urban_Male,423000,,NITIIndiaProjection,
2025,wikidataId/Q66278313,dcid:Count_Person_Urban,4324000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q66278313,dcid:Count_Person_Urban_Female,1983000,,NITIIndiaProjection,
2025,wikidataId/Q66278313,dcid:Count_Person_Urban_Male,2341000,,NITIIndiaProjection,
2025,wikidataId/Q1184,dcid:Count_Person_Urban,10847000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1184,dcid:Count_Person_Urban_Female,5168000,,NITIIndiaProjection,
2025,wikidataId/Q1184,dcid:Count_Person_Urban_Male,5679000,,NITIIndiaProjection,
2025,wikidataId/Q1185,dcid:Count_Person_Urban,31402000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1185,dcid:Count_Person_Urban_Female,15405000,,NITIIndiaProjection,
2025,wikidataId/Q1185,dcid:Count_Person_Urban_Male,15997000,,NITIIndiaProjection,
2025,wikidataId/Q1186,dcid:Count_Person_Urban,29122000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1186,dcid:Count_Person_Urban_Female,15195000,,NITIIndiaProjection,
2025,wikidataId/Q1186,dcid:Count_Person_Urban_Male,13927000,,NITIIndiaProjection,
2025,wikidataId/Q200667,dcid:Count_Person_Urban,99000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q200667,dcid:Count_Person_Urban_Female,34000,,NITIIndiaProjection,
2025,wikidataId/Q200667,dcid:Count_Person_Urban_Male,65000,,NITIIndiaProjection,
2025,wikidataId/Q26927,dcid:Count_Person_Urban,70000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q26927,dcid:Count_Person_Urban_Female,34000,,NITIIndiaProjection,
2025,wikidataId/Q26927,dcid:Count_Person_Urban_Male,36000,,NITIIndiaProjection,
2025,wikidataId/Q1188,dcid:Count_Person_Urban,26127000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1188,dcid:Count_Person_Urban_Female,12505000,,NITIIndiaProjection,
2025,wikidataId/Q1188,dcid:Count_Person_Urban_Male,13622000,,NITIIndiaProjection,
2025,wikidataId/Q1191,dcid:Count_Person_Urban,63463000,,dcs:dcAggregate/NITIIndiaProjection,
2025,wikidataId/Q1191,dcid:Count_Person_Urban_Female,30114000,,NITIIndiaProjection,
